text,Age,Dosage,Health Condition,Medical Procedure,Medicine,Specialist,Symptom,modified_symptom,modified_sentence
"গ্রাহক , ডাক্তার ভাইকে প্রশ্ন করার জন্য আপনাকে ধন্যবাদ । আপনার বাচ্চা কি প্রতিদিন ৫ / ৬ বার প্রস্রাব করে ? যদি করে থাকে তাহলে বুঝতে হবে বাচ্চা পরিমাণমতো খাবার খাচ্ছে ও দুধ পাচ্ছে ? আপনার বাচ্চার ওজন কত ? বাচ্চা যদি খাবার খেতে অনীহা প্রকাশ করে , তাহলে কিছু সময় বিরতি দিয়ে তাকে আবার খাবার অফার করুন ৷ বাচ্চাকে খাবার খেতে উৎসাহী করার জন্য রঙিন খাবার প্লেট , রঙিন ফলমূল ব্যবহার করুন , এছাড়াও আপনি যে খাবার দিচ্ছেন তাতে হজমের সমস্যা হচ্ছে কিনা খেয়াল রাখবেন । আপনার বাচ্চা যদি অতিরিক্ত দুর্বল না হয়ে যায় এবং ক্লান্ত না দেখায় তাহলে বুঝতে হবে বাচ্চা পরিমাণগত খাবার খাচ্ছে । ধন্যবাদ",[],[],[],[],[],[],['বাচ্চা যদি অতিরিক্ত দুর্বল'],বাচ্চা যদি জ্বর,"গ্রাহক , ডাক্তার ভাইকে প্রশ্ন করার জন্য আপনাকে ধন্যবাদ । আপনার বাচ্চা কি প্রতিদিন ৫ / ৬ বার প্রস্রাব করে ? যদি করে থাকে তাহলে বুঝতে হবে বাচ্চা পরিমাণমতো খাবার খাচ্ছে ও দুধ পাচ্ছে ? আপনার বাচ্চার ওজন কত ? বাচ্চা যদি খাবার খেতে অনীহা প্রকাশ করে , তাহলে কিছু সময় বিরতি দিয়ে তাকে আবার খাবার অফার করুন ৷ বাচ্চাকে খাবার খেতে উৎসাহী করার জন্য রঙিন খাবার প্লেট , রঙিন ফলমূল ব্যবহার করুন , এছাড়াও আপনি যে খাবার দিচ্ছেন তাতে হজমের সমস্যা হচ্ছে কিনা খেয়াল রাখবেন । আপনার বাচ্চা যদি জ্বর না হয়ে যায় এবং ক্লান্ত না দেখায় তাহলে বুঝতে হবে বাচ্চা পরিমাণগত খাবার খাচ্ছে । ধন্যবাদ"
টয়লেট ক্লিয়ার হয়না । সব সময় পেট বরা ভরা ভরা লাগে । টয়লেটের চাপ পাওয়ার পরেও টয়লেট ক্লিয়ার ভাবে সম্পন্ন হয় না । যার ফলে অল্প খাবার খেলেই পেট ভরে যায় । পরামর্শ দিবেন,[],[],[],[],[],[],"['টয়লেট ক্লিয়ার হয়না', 'পেট বরা ভরা ভরা লাগে', 'টয়লেটের চাপ পাওয়ার পরেও টয়লেট ক্লিয়ার ভাবে সম্পন্ন হয় না', 'অল্প খাবার খেলেই পেট ভরে যায়']",মাথাব্যথা,মাথাব্যথা । সব সময় পেট বরা ভরা ভরা লাগে । টয়লেটের চাপ পাওয়ার পরেও টয়লেট ক্লিয়ার ভাবে সম্পন্ন হয় না । যার ফলে অল্প খাবার খেলেই পেট ভরে যায় । পরামর্শ দিবেন
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । কচু শাক খেলে যাদের কচু শাকে এলার্জি আছে তাদের শরীর চুলকাতে পারে । আপনি কচু শাক খাওয়া বন্ধ করুন । ধন্যবাদ,[],[],['এলার্জি আছে'],[],[],[],['শরীর চুলকাতে পারে'],শরীর ব্যথা করতে পারে,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । কচু শাক খেলে যাদের কচু শাকে এলার্জি আছে তাদের শরীর ব্যথা করতে পারে । আপনি কচু শাক খাওয়া বন্ধ করুন । ধন্যবাদ
আমার ভায়ের বয়স 10 মাস কোনো কিছু খাচ্ছে না কোনো মেডিসিন prescribe করূন অথবা পরামর্শ দিন,['10 মাস'],[],[],[],[],[],['কোনো কিছু খাচ্ছে না'],জ্বর,আমার ভায়ের বয়স 10 মাস জ্বর মেডিসিন prescribe করূন অথবা পরামর্শ দিন
"আমার ঠান্ডা এবং কাশি , শুকনো কাশি রাতে বেশি হয় । ঠান্ডায় নাক বন্ধ হয়ে যায় । কাশির জন্য mcastmcast খাই । ",[],[],[],[],['mcastmcast'],[],"['ঠান্ডা', 'কাশি', 'শুকনো কাশি রাতে বেশি হয়', 'ঠান্ডায় নাক বন্ধ হয়ে যায়', 'কাশির']",জ্বর,"আমার জ্বর এবং কাশি , শুকনো কাশি রাতে বেশি হয় । ঠান্ডায় নাক বন্ধ হয়ে যায় । কাশির জন্য mcastmcast খাই ।"
প্রশ্ন করার জন্য অনেক ধন্যবাদ / RIGHT ADNEXAL CYST এর কারনে জ্বর আসার কথা না জ্বর সাধারণত infection এর কারনে হয়ে থাকে / আপনার কিছু পরিক্ষা করে দেখতে হবে কেনও জ্বর আসছে / আপনি একজন নিকটস্থ ডাক্তারকে দেখিয়ে পরামর্শ মতো চিকিৎসা নিন / ধন্যবাদ / ,[],[],"['RIGHT ADNEXAL CYST', 'infection']",[],[],[],['জ্বর'],মাথাব্যথা,প্রশ্ন করার জন্য অনেক ধন্যবাদ / RIGHT ADNEXAL CYST এর কারনে মাথাব্যথা আসার কথা না মাথাব্যথা সাধারণত infection এর কারনে হয়ে থাকে / আপনার কিছু পরিক্ষা করে দেখতে হবে কেনও মাথাব্যথা আসছে / আপনি একজন নিকটস্থ ডাক্তারকে দেখিয়ে পরামর্শ মতো চিকিৎসা নিন / ধন্যবাদ /
"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । কাশির জন্য Syrup Adovas ২ চামচ তিনবেলা এক ফাইল খেতে পারেন । জ্বর , গা হাত পা ব্যথার জন্য Tab Napa 500 1 টি করে ট্যাবলেট দুই থেকে তিন বেলা খেতে পারেন । দুশ্চিন্তা করার কিছু নেই । ভ্যাকসিন নেওয়ার পরেও করোণা পজিটিভ আসতে পারে । সুতরাং , সাবধানে থাকুন । জ্বর কাশি না কমলে একটি Covid - 19 টেস্ট করে ফেলতে পারেন । ধন্যবাদ",[],"['২ চামচ তিনবেলা এক ফাইল', '1 টি করে ট্যাবলেট দুই থেকে তিন বেলা']",[],['Covid - 19 টেস্ট'],"['Syrup Adovas', 'Tab Napa 500']",[],"['জ্বর', 'গা হাত পা ব্যথার']",মাথাব্যথা,"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । কাশির জন্য Syrup Adovas ২ চামচ তিনবেলা এক ফাইল খেতে পারেন । মাথাব্যথা , গা হাত পা ব্যথার জন্য Tab Napa 500 1 টি করে ট্যাবলেট দুই থেকে তিন বেলা খেতে পারেন । দুশ্চিন্তা করার কিছু নেই । ভ্যাকসিন নেওয়ার পরেও করোণা পজিটিভ আসতে পারে । সুতরাং , সাবধানে থাকুন । জ্বর কাশি না কমলে একটি Covid - 19 টেস্ট করে ফেলতে পারেন । ধন্যবাদ"
আমার এক সপ্তাহ যাবৎ পায়খানার রস্তায় চুলকানি । কি ঔষধ খাব জানাবেন । ,[],[],[],[],[],[],['পায়খানার রস্তায় চুলকানি'],পেটব্যথা,আমার এক সপ্তাহ যাবৎ পেটব্যথা । কি ঔষধ খাব জানাবেন ।
"আমার স্ত্রীর একটি সমস্যা হচ্ছে যেটা , পায়খানার রাস্তা দিয়ে রক্ত যাচ্ছে । পায়খানার রাস্তা খুব ব্যাথাও করছে । এটা কোন ধরনের সমস্যা বা কিসের জন্য হতে পারে ? আমি কোন বিভাগের ডাক্টার এর সাথে কথা বলবো ? ",[],[],[],[],[],[],"['পায়খানার রাস্তা দিয়ে রক্ত যাচ্ছে', 'পায়খানার রাস্তা খুব ব্যাথাও করছে']",পায়খানার রাস্তা দিয়ে পুঁজ যাচ্ছে,"আমার স্ত্রীর একটি সমস্যা হচ্ছে যেটা , পায়খানার রাস্তা দিয়ে পুঁজ যাচ্ছে । পায়খানার রাস্তা খুব ব্যাথাও করছে । এটা কোন ধরনের সমস্যা বা কিসের জন্য হতে পারে ? আমি কোন বিভাগের ডাক্টার এর সাথে কথা বলবো ?"
"বয়স ৬০ , মহিলা । গত ৪ / ৫ দিন ধরে কাশি ২ / ৩ দিনের মত জ্বর ছিলো । এখন কাশির সাথে রক্ত আসছে । হাইপারটেনশন ও অ্যাস্থমা আছে । কি করা যায় ? এটি কি অস্বাভাবিক ? ",['৬০'],[],"['হাইপারটেনশন', 'অ্যাস্থমা']",[],[],[],"['৪ / ৫ দিন ধরে কাশি', '২ / ৩ দিনের মত জ্বর', 'কাশির সাথে রক্ত']",মাথাব্যথা,"বয়স ৬০ , মহিলা । গত ৪ / ৫ দিন ধরে মাথাব্যথা ২ / ৩ দিনের মত জ্বর ছিলো । এখন কাশির সাথে রক্ত আসছে । হাইপারটেনশন ও অ্যাস্থমা আছে । কি করা যায় ? এটি কি অস্বাভাবিক ?"
আমরা বাবা জ্বর ৩ / ৪ দিন ঔষধ খাবার পর জ্বর ছাড়ে বিকেল পাঁচটার পর আবার জ্বর উঠে 101 / 102,[],[],[],[],[],[],['জ্বর উঠে'],মাথাব্যথা,আমরা বাবা মাথাব্যথা ৩ / ৪ দিন ঔষধ খাবার পর জ্বর ছাড়ে বিকেল পাঁচটার পর আবার জ্বর উঠে 101 / 102
