text,Symptom,Health Condition,Medicine,Specialist,Age,Dosage,Medical Procedure,target_specialist,modified_specialist,modified_sentence
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার বাচ্চাকে আদা , মধু , গরম পানি খাওয়ান । সিরাপ এমব্রোক্স খাওয়াতে পারেন আধা চামচ করে তিন বার একজন শিশু বিশেষজ্ঞ কে দেখিয়ে নিন । ধন্যবাদ । ",,,সিরাপ এমব্রোক্স,শিশু বিশেষজ্ঞ,,আধা চামচ করে তিন বার,,শিশু বিশেষজ্ঞ,শিশু শ্বাসতন্ত্র বিশেষজ্ঞ,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার বাচ্চাকে আদা , মধু , গরম পানি খাওয়ান । সিরাপ এমব্রোক্স খাওয়াতে পারেন আধা চামচ করে তিন বার একজন শিশু শ্বাসতন্ত্র বিশেষজ্ঞ কে দেখিয়ে নিন । ধন্যবাদ ।"
"Amar Buke Procur Beta korteche , Heart er doctors o dekhaichi . Troponin i and s . creatinine porikka kore chi report valo . akn buker bam Pashe veta korteche ki korbo jodi bolten . . ",Buke Procur Beta korteche | buker bam Pashe veta korteche,,,Heart er doctors,,,Troponin i | s . creatinine,Heart er doctors,Pulmonologist,"Amar Buke Procur Beta korteche , Pulmonologist o dekhaichi . Troponin i and s . creatinine porikka kore chi report valo . akn buker bam Pashe veta korteche ki korbo jodi bolten . ."
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । হাত কাঁপার অন্যতম কারণ গুলোর মধ্যে থাইরয়েডের সমস্যা , দুশ্চিন্তা বা এনজাইটি ডিসঅর্ডার , ব্রেইনের সেরিবেলাম এর সমস্যা , পারকিনসন ডিজিজ ইত্যাদি উল্লেখযোগ্য । আপনার সমস্যা কি তা জানার জন্য কিছু পরীক্ষা করা দরকার যেমন থাইরয়েড পরীক্ষা । একজন নিউরোলজিস্ট দিয়ে আপনার ব্রেনের কোন সমস্যা হয়েছে কিনা তা জানা দরকার । আপনি একজন নিউরোমেডিসিন বিশেষজ্ঞ কে দেখান । দুশ্চিন্তা করবেন না । চিন্তা করলে হাত কাঁপা বাড়তে পারে ঘুম ঠিকমতো হতে হবে । ধন্যবাদ । ",,দুশ্চিন্তা বা এনজাইটি ডিসঅর্ডার,,নিউরোলজিস্ট | নিউরোমেডিসিন বিশেষজ্ঞ,,,থাইরয়েড পরীক্ষা,নিউরোলজিস্ট | নিউরোমেডিসিন বিশেষজ্ঞ,মুভমেন্ট ডিসঅর্ডার বিশেষজ্ঞ,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । হাত কাঁপার অন্যতম কারণ গুলোর মধ্যে থাইরয়েডের সমস্যা , দুশ্চিন্তা বা এনজাইটি ডিসঅর্ডার , ব্রেইনের সেরিবেলাম এর সমস্যা , পারকিনসন ডিজিজ ইত্যাদি উল্লেখযোগ্য । আপনার সমস্যা কি তা জানার জন্য কিছু পরীক্ষা করা দরকার যেমন থাইরয়েড পরীক্ষা । একজন মুভমেন্ট ডিসঅর্ডার বিশেষজ্ঞ দিয়ে আপনার ব্রেনের কোন সমস্যা হয়েছে কিনা তা জানা দরকার । আপনি একজন নিউরোমেডিসিন বিশেষজ্ঞ কে দেখান । দুশ্চিন্তা করবেন না । চিন্তা করলে হাত কাঁপা বাড়তে পারে ঘুম ঠিকমতো হতে হবে । ধন্যবাদ ।"
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার সমস্যা এখান থেকে ভাল বোঝা যাচ্ছে না । একজন নিউরোমেডিসিন বিশেষজ্ঞ চিকিৎসক কে দেখাতে হবে । ধন্যবাদ । ,,,,নিউরোমেডিসিন বিশেষজ্ঞ,,,,নিউরোমেডিসিন বিশেষজ্ঞ,নিউরোলজি বিশেষজ্ঞ,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার সমস্যা এখান থেকে ভাল বোঝা যাচ্ছে না । একজন নিউরোলজি বিশেষজ্ঞ চিকিৎসক কে দেখাতে হবে । ধন্যবাদ ।
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি গরম পানির ধোয়া নাকে নিয়ে দেখতে পারেন । এলাট্রল জাতীয় ঔষধ রাতে একটা করে খান । একজন মেডিসিন বিশেষজ্ঞ পরামর্শ নিন । ধন্যবাদ,,,এলাট্রল,মেডিসিন বিশেষজ্ঞ,,,,মেডিসিন বিশেষজ্ঞ,নাক-কান-গলা বিশেষজ্ঞ,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি গরম পানির ধোয়া নাকে নিয়ে দেখতে পারেন । এলাট্রল জাতীয় ঔষধ রাতে একটা করে খান । একজন নাক-কান-গলা বিশেষজ্ঞ পরামর্শ নিন । ধন্যবাদ
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । এই অবস্হায় সরাসরি না দেখে বা পরীক্ষা না করে কিছু বলা ঠিক হবেনা । এতে রোগীর ক্ষতি হতে পারে আপনি সরাসরি একজন Neuro - Medicine বিশেষজ্ঞ এর পরামর্শ নিতে পারেন ধন্যবাদ,,,,Neuro - Medicine বিশেষজ্ঞ,,,,Neuro - Medicine বিশেষজ্ঞ,নিউরোলজি বিশেষজ্ঞ,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । এই অবস্হায় সরাসরি না দেখে বা পরীক্ষা না করে কিছু বলা ঠিক হবেনা । এতে রোগীর ক্ষতি হতে পারে আপনি সরাসরি একজন নিউরোলজি বিশেষজ্ঞ এর পরামর্শ নিতে পারেন ধন্যবাদ
"Thanks for your question . it is common in pregnancy . for more info , consult with gynaecologist . You can directly seek advice via this app through video conference . thanks",,pregnancy,,gynaecologist,,,,gynaecologist,obstetrician,"Thanks for your question . it is common in pregnancy . for more info , consult with obstetrician . You can directly seek advice via this app through video conference . thanks"
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য , আপনি আপনার খাওয়ার জন্য একটা রুটিন তৈরি করুন । আমিস জাতীয় খাবার খান । এক্সেরসাইস করুন । প্রয়োজনে একজন পুস্তিবিদ র সাথে কথা যোগাযোগ করুন । ",,,,পুস্তিবিদ,,,,পুস্তিবিদ,ডায়েটিশিয়ান,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য , আপনি আপনার খাওয়ার জন্য একটা রুটিন তৈরি করুন । আমিস জাতীয় খাবার খান । এক্সেরসাইস করুন । প্রয়োজনে একজন ডায়েটিশিয়ান র সাথে কথা যোগাযোগ করুন ।"
Thanks for questioning to daktervai . Please continue previous prescription if not resolve consult with a paediatrician . Give 8to 10 tea spoon ORS after each loose motion,,,ORS,paediatrician,,8to 10 tea spoon,,paediatrician,general physician,Thanks for questioning to daktervai . Please continue previous prescription if not resolve consult with a general physician . Give 8to 10 tea spoon ORS after each loose motion
"ধন্যবাদ আপনার প্রশ্নের জন্য । ফাটিয়ে দিবেন না । ইনফেকশন হয়ে যাবে । আপাতত এলারজি উদ্রেককারী খাবার , ধূলাবালি এড়িয়ে চলুন । । এলাট্রল খান । না দেখে সমাধান দেয়া যাচ্ছে না । সরাসরি চর্মরোগ বিশেষজ্ঞ দেখিয়ে পরামর্শ নিতে হবে ধন্যবাদ",,ইনফেকশন,এলাট্রল,চর্মরোগ বিশেষজ্ঞ,,,,চর্মরোগ বিশেষজ্ঞ,এলার্জি বিশেষজ্ঞ,"ধন্যবাদ আপনার প্রশ্নের জন্য । ফাটিয়ে দিবেন না । ইনফেকশন হয়ে যাবে । আপাতত এলারজি উদ্রেককারী খাবার , ধূলাবালি এড়িয়ে চলুন । । এলাট্রল খান । না দেখে সমাধান দেয়া যাচ্ছে না । সরাসরি এলার্জি বিশেষজ্ঞ দেখিয়ে পরামর্শ নিতে হবে ধন্যবাদ"
