serial_no,question,options/A,options/B,options/C,options/D,options/E,answer,hallucinated_question,technique,difficulty_justification,pred_GPT-4o-mini,correct_GPT-4o-mini,pred_Gemini-3.1-flash-lite,correct_Gemini-3.1-flash-lite,pred_Grok-4.3,correct_Grok-4.3,pred_Qwen-2.5-72B,correct_Qwen-2.5-72B,pred_Llama-3.1-70B,correct_Llama-3.1-70B,pred_DeepSeek-V4-Flash,correct_DeepSeek-V4-Flash
1,মস্তিষ্কের কোন অংশ মানুষের ক্ষুধা নিয়ন্ত্রণ করে?,মেডুলা অবলংগাটা,সেরিবেলাম,হাইপোথ্যালামাস,সেরিব্রাম,উত্তর নেই,C,উল্লিখিত ক্ষুধা-নিয়ন্ত্রণকারী কেন্দ্রটি মস্তিষ্কের কোন অংশে অবস্থিত?,Referent Deletion,"কোন ক্ষুধা-নিয়ন্ত্রণকারী কেন্দ্রকে ‘উল্লিখিত’ বলা হয়েছে তার কোনো পূর্বসূত্র নেই, তাই প্রদত্ত বিকল্পগুলোর কোনোটিই নিশ্চিতভাবে সঠিক উত্তর হতে পারে না।",C,0,C,0,C,0,C,0,C,0.0,C,0
2,ডেলটয়েড টিউবারসিটি কোন অস্থির অংশ?,আলনা,স্ক্যাপুলা,রেডিয়াস,হিউমেরাস,উত্তর নেই,D,"ডেলটয়েড টিউবারসিটি এমন একটি অস্থির অংশ, যা একই সঙ্গে স্ক্যাপুলার পশ্চাৎপৃষ্ঠ ও বাহুর দীর্ঘ অস্থির মধ্যাংশের গঠন—এটি কোন অস্থির অংশ?",Contradiction,"ডেলটয়েড টিউবারসিটি কেবল হিউমেরাসে অবস্থিত, তাই স্ক্যাপুলা ও হিউমেরাস—দুই অস্থির একই সঙ্গে অংশ হওয়ার দাবি anatomically পরস্পরবিরোধী।",D,0,D,0,E,1,E,1,D,0.0,D,0
3,ফুসফুসের আবরণকে কি বলে?,গ্লিসন ক্যাপসুল,পেরিকার্ডিয়াম,ডায়াফ্রাম,প্লিওরা,উত্তর নেই,D,উল্লিখিত অঙ্গের আবরণকে কী বলে?,Referent Deletion,"কোন অঙ্গকে ‘উল্লিখিত’ বলা হচ্ছে তা প্রশ্নে নির্দিষ্ট না থাকায়, প্রদত্ত কোনো বিকল্পকে নিশ্চিতভাবে সঠিক বলা যায় না।",E,1,E,1,E,1,E,1,B,0.0,E,1
4,নিচের কোনটি মানুষের দ্বিতীয় মস্তিষ্ক হিসাবে পরিচিত?,সুষুম্না কাণ্ড,এন্টেরিক স্নায়ুতন্ত্র,এক্সট্রিনসিক স্নায়ুতন্ত্র,মেডুলা অবলংগাটা,উত্তর নেই,B,মানুষের দ্বিতীয় মস্তিষ্ক হিসেবে পরিচিত এবং সম্পূর্ণভাবে করোটির অভ্যন্তরে অবস্থিত—এমন স্নায়ুতন্ত্র কোনটি?,Contradiction,"এন্টেরিক স্নায়ুতন্ত্রকে দ্বিতীয় মস্তিষ্ক বলা হলেও এটি করোটির অভ্যন্তরে নয়, পরিপাকনালিতে অবস্থিত—তাই প্রদত্ত A–D-এর কোনোটিই শর্ত পূরণ করে না।",B,0,E,1,E,1,B,0,B,0.0,E,1
5,কানের কোন অংশ ভারসাম্য রক্ষায় কাজ করে?,কর্ণাস্থি,ভেস্টিবুলার যন্ত্র,টিমপেনিক পর্দা,ককলিয়ার বডি,উত্তর নেই,B,"কানের যে অংশ ভারসাম্য রক্ষায় কাজ করে এবং একই সঙ্গে শব্দতরঙ্গকে শ্রবণ-স্নায়ুসংকেতে রূপান্তর করে, সেই অংশটির নাম কী?",Contradiction,"ভারসাম্য রক্ষার কাজ ভেস্টিবুলার যন্ত্রের, আর শব্দতরঙ্গকে স্নায়ুসংকেতে রূপান্তরের কাজ ককলিয়ার—তাই কোনো একক বিকল্প উভয় বৈশিষ্ট্য পূরণ করে না।",D,0,E,1,E,1,B,0,B,0.0,E,1
6,নিচের কোন হরমোনটি মানুষের ডিম্বাশয় থেকে নিঃসৃত হয়??,অক্সিটোসিন,প্রোল্যাকটিন,প্রজেস্টেরন,থাইরোনিন,উত্তর নেই,C,নিচের কোন হরমোনটি মানুষের ডিম্বাশয় থেকে নিঃসৃত হওয়ার পাশাপাশি থাইরয়েড গ্রন্থির ফলিকুলার কোষেও উৎপন্ন হয়?,Contradiction,ডিম্বাশয় থেকে প্রজেস্টেরন নিঃসৃত হলেও কোনো হরমোন একই সঙ্গে ডিম্বাশয় ও থাইরয়েডের ফলিকুলার কোষ—উভয় স্থান থেকে উৎপন্ন হয় না।,D,0,E,1,E,1,E,1,C,0.0,E,1
7,কোন চক্রের মাধ্যমে যকৃতে ইউরিয়া তৈরী হয়?,কার্বন চক্র,অরনিথিন চক্র,ক্রেবস চক্র,নাইট্রোজেন চক্র,উত্তর নেই,B,উল্লিখিত জৈবরাসায়নিক চক্রের মাধ্যমে যকৃতে ইউরিয়া তৈরি হয়—চক্রটির নাম কী?,Referent Deletion,"প্রশ্নে কোনো চক্র আগে উল্লেখ করা হয়নি, তাই ‘উল্লিখিত’ চক্রটি নির্দিষ্ট না থাকায় A–D-এর কোনো বিকল্পকে নিশ্চিতভাবে সঠিক বলা যায় না।",B,0,B,0,B,0,B,0,B,0.0,B,0
8,কোন এন্টিবডি প্রধানত এলার্জির সাথে সংশ্লিষ্ট?,IgA,IgM,IgG,IgE,উত্তর নেই,D,এলার্জির সঙ্গে প্রধানত সংশ্লিষ্ট এবং রক্তে সর্বাধিক পরিমাণে পাওয়া যায়—এমন অ্যান্টিবডি কোনটি?,Contradiction,এলার্জির সঙ্গে প্রধানত IgE এবং রক্তে সর্বাধিক পরিমাণে IgG সংশ্লিষ্ট হওয়ায় কোনো একটি বিকল্পই উভয় শর্ত পূরণ করে না।,D,0,E,1,E,1,D,0,D,0.0,D,0
9,মানবদেহে সপ্তম করোটিক স্নায়ুর নাম কি?,ট্রকলিয়ার স্নায়ু,ফেসিয়াল স্নায়ু,ভেগাস স্নায়ু,অপটিক স্নায়ু,উত্তর নেই,B,উল্লিখিত সপ্তম করোটিক স্নায়ুটির নাম কী?,Referent Deletion,"প্রশ্নে ‘উল্লিখিত’ বলা হলেও কোনো নির্দিষ্ট করোটিক স্নায়ুর পূর্বতথ্য দেওয়া নেই, তাই সপ্তম স্নায়ু শনাক্ত করে A–D থেকে সঠিক উত্তর নির্বাচন করা যায় না।",E,1,B,0,E,1,B,0,B,0.0,B,0
10,এনজিওপ্লাস্টি করলে কি হয়?,হৃদস্পন্দন বৃদ্ধি পায়,সরু ধমনী প্রশস্ত হয়,হৃদস্পন্দনের গতি ধীর হয়,রক্ত সঞ্চালনের গতি বৃদ্ধি পায়,উত্তর নেই,B,উল্লিখিত নির্দিষ্ট ধমনীতে এনজিওপ্লাস্টি করার পর কোন পরিবর্তনটি প্রত্যাশিত?,Referent Deletion,"কোন ধমনী বা তার পূর্ববর্তী অবস্থা উল্লেখ করা হয়নি, তাই প্রক্রিয়াটির ফল নির্দিষ্টভাবে নির্ধারণ করা যায় না এবং A–D-এর কোনোটি নিশ্চিতভাবে সঠিক নয়।",B,0,B,0,E,1,B,0,B,0.0,B,0
11,কোন কোষ হেপারিন তৈরী ও নিঃসরণ করে?,নিউট্রোফিল,লিম্ফোসাইট,মোনোসাইট,বেসোফিল,উত্তর নেই,D,"যে কোষ হেপারিন তৈরি ও নিঃসরণ করে এবং পরিণত অবস্থায় একই সঙ্গে রক্তে সঞ্চালিত ও টিস্যুতে স্থায়ীভাবে অবস্থান করে, সেটি কোনটি?",Contradiction,"বেসোফিল রক্তে সঞ্চালিত হয়, আর টিস্যুতে স্থায়ীভাবে থাকা হেপারিন-নিঃসরণকারী কোষ হলো মাস্ট সেল—তাই কোনো প্রদত্ত বিকল্পই উভয় শর্ত পূরণ করে না।",D,0,D,0,E,1,D,0,D,0.0,E,1
12,ডাক্টাস ক্যুভেইরি রুই মাছের কোন তন্ত্রের অংশ?,শ্বসনতন্ত্র,শিরাতন্ত্র,রেচনতন্ত্র,ধমনিতন্ত্র,উত্তর নেই,B,উল্লিখিত নালিটি রুই মাছের কোন তন্ত্রের অংশ?,Referent Deletion,প্রশ্নে কোনো নালির নাম বা পরিচয় দেওয়া না থাকায় কোন তন্ত্রের অংশ তা নির্ধারণের জন্য অপরিহার্য তথ্য অনুপস্থিত—এটি বিশেষজ্ঞ সহজেই শনাক্ত করবেন।,E,1,E,1,E,1,A,0,A,0.0,E,1
