serial_no,question,answer,model_raw_response,isCorrect
1,মস্তিষ্কের কোন অংশ মানুষের ক্ষুধা নিয়ন্ত্রণ করে?,সেরিব্রাম,0,0
2,ডেলটয়েড টিউবারসিটি কোন অস্থির অংশ?,রেডিয়াস,0,0
3,ফুসফুসের আবরণকে কি বলে?,ডায়াফ্রাম,0,0
4,নিচের কোনটি মানুষের দ্বিতীয় মস্তিষ্ক হিসাবে পরিচিত?,মেডুলা অবলংগাটা,0,0
5,কানের কোন অংশ ভারসাম্য রক্ষায় কাজ করে?,ককলিয়ার বডি,0,0
6,নিচের কোন হরমোনটি মানুষের ডিম্বাশয় থেকে নিঃসৃত হয়??,থাইরোনিন,0,0
7,কোন চক্রের মাধ্যমে যকৃতে ইউরিয়া তৈরী হয়?,নাইট্রোজেন চক্র,0,0
8,কোন এন্টিবডি প্রধানত এলার্জির সাথে সংশ্লিষ্ট?,IgG,0,0
9,মানবদেহে সপ্তম করোটিক স্নায়ুর নাম কি?,অপটিক স্নায়ু,0,0
10,এনজিওপ্লাস্টি করলে কি হয়?,রক্ত সঞ্চালনের গতি বৃদ্ধি পায়,1,1
11,কোন কোষ হেপারিন তৈরী ও নিঃসরণ করে?,মোনোসাইট,0,0
12,ডাক্টাস ক্যুভেইরি রুই মাছের কোন তন্ত্রের অংশ?,ধমনিতন্ত্র,0,0
13,পেসমেকারের কাজ কি?,হৃদরোগ প্রতিরোধ করে,0,0
14,"পূর্ণবয়স্ক সুস্থ মানুষের দুই বৃক্কে প্রতি মিনিটে মোট রক্ত সঞ্চালনের
পরিমাণ-",৩৭৫ মিঃ লিঃ,0,0
15,কোনটির উপস্থিতিতে স্নেহ পদার্থের ইমালসিফিকেশন হয়?,হরমোন,0,0
16,নিচের কোনটি নাইট্রোজেনবিহীন পদার্থ?,ইউরিয়া,0,0
17,মুখে খাওয়ার পোলিও ভ্যাকসিনটি কোন ধরনের ভ্যাকসিন?,অনুবন্ধী টিকা,0,0
18,নিচের কোনটি ম্যাক্রোফেজের কাজ নয়?,রিঅ্যাকটিভ অক্সিজেন ইন্টারমিডিয়েট তৈরি করা,0,0
19,অন্তঃশ্বসন-,এনজাইম দ্বারা প্রভাবিত হয় না,0,0
20,Mollusca এর ক্ষেত্রে কোনটি সঠিক?,দেহাভ্যন্তরে কেন্দ্রীয় গহ্বর বিদ্যমান,0,0
21,গ্লুকাগন-,একটি পলিপেপটাইড এনজাইম,0,0
22,মানবদেহে কোনটি লুপ্তপ্রায় অংগ?,ক্যানাইন দাঁত,0,0
23,কোন উদ্দীপনা অ্যানিমোট্যাক্সিসকে প্রভাবিত করে?,তাপ,0,0
24,মায়োফাইব্রিলে কি ধরনের আমিষ থাকে?,কোলাজেন এবং মায়োসিন,0,0
25,অন্ত্রের প্রথম প্রতিরক্ষার স্তর কোনটি?,"লালা, পাকস্থলির এনজাইম ও ফ্যাগোসাইটস",0,0
26,বুকের দুধের কোন উপাদানটি নবজাতকের প্রতিরক্ষায় কার্যকর?,গ্যালাকটোজ,0,0
27,নিচের কোন স্তন্যপায়ী প্রাণী ডিম পাড়ে?,সীল (Seal),0,0
29,নিচের চার প্রকোষ্ঠ বিশিষ্ট হৃদপিন্ড কোন প্রাণীতে দেখা যায়?,সাপ,0,0
30,কোন hormone পাকস্থলির এসিড নিঃসরণ নিয়ন্ত্রণ করে?,এন্টেরোকাইনিন,0,0
31,কোন কোষ বিভাজন পদ্ধতিতে RBC তৈরি হয়?,amitiosis,0,0
32,কোন hormone রক্তে Na+ এবং K+ এর সমতা রক্ষা করে?,এড্রেনালিন,0,0
33,স্বাভাবিক অবস্থায় হৃদপিন্ডের পেসমেকার কোনটি?,Purkinje fiber,0,0
