serial_no,question,answer,model_raw_response,isCorrect
1,মস্তিষ্কের কোন অংশ মানুষের ক্ষুধা নিয়ন্ত্রণ করে?,মেডুলা অবলংগাটা,0,0
2,ডেলটয়েড টিউবারসিটি কোন অস্থির অংশ?,আলনা,0,0
3,ফুসফুসের আবরণকে কি বলে?,গ্লিসন ক্যাপসুল,0,0
4,নিচের কোনটি মানুষের দ্বিতীয় মস্তিষ্ক হিসাবে পরিচিত?,সুষুম্না কাণ্ড,1,1
5,কানের কোন অংশ ভারসাম্য রক্ষায় কাজ করে?,কর্ণাস্থি,0,0
6,নিচের কোন হরমোনটি মানুষের ডিম্বাশয় থেকে নিঃসৃত হয়??,অক্সিটোসিন,0,0
7,কোন চক্রের মাধ্যমে যকৃতে ইউরিয়া তৈরী হয়?,কার্বন চক্র,0,0
8,কোন এন্টিবডি প্রধানত এলার্জির সাথে সংশ্লিষ্ট?,IgA,0,0
9,মানবদেহে সপ্তম করোটিক স্নায়ুর নাম কি?,ট্রকলিয়ার স্নায়ু,1,1
10,এনজিওপ্লাস্টি করলে কি হয়?,হৃদস্পন্দন বৃদ্ধি পায়,0,0
11,কোন কোষ হেপারিন তৈরী ও নিঃসরণ করে?,নিউট্রোফিল,0,0
12,ডাক্টাস ক্যুভেইরি রুই মাছের কোন তন্ত্রের অংশ?,শ্বসনতন্ত্র,0,0
13,পেসমেকারের কাজ কি?,রক্তকে তরল রাখে,0,0
14,"পূর্ণবয়স্ক সুস্থ মানুষের দুই বৃক্কে প্রতি মিনিটে মোট রক্ত সঞ্চালনের
পরিমাণ-",২৫০ মিঃ লিঃ,0,0
15,কোনটির উপস্থিতিতে স্নেহ পদার্থের ইমালসিফিকেশন হয়?,এনজাইম,1,1
16,নিচের কোনটি নাইট্রোজেনবিহীন পদার্থ?,ক্রিয়েটিনিন,0,0
17,মুখে খাওয়ার পোলিও ভ্যাকসিনটি কোন ধরনের ভ্যাকসিন?,নিষ্ক্রিয় টিকা,0,0
18,নিচের কোনটি ম্যাক্রোফেজের কাজ নয়?,বিভিন্ন ধরনের কোষবিষ তৈরি করা,0,0
19,অন্তঃশ্বসন-,কোষ ও রক্তে সংঘটিত হয়,1,1
20,Mollusca এর ক্ষেত্রে কোনটি সঠিক?,নরম কিউটিকুলার এপিডার্মিস দ্বারা আবৃত,1,1
21,গ্লুকাগন-,রক্তে সুগার কমায়,1,1
22,মানবদেহে কোনটি লুপ্তপ্রায় অংগ?,থাইরয়েড গ্ল্যান্ড,0,0
23,কোন উদ্দীপনা অ্যানিমোট্যাক্সিসকে প্রভাবিত করে?,আর্দ্রতা,0,0
24,মায়োফাইব্রিলে কি ধরনের আমিষ থাকে?,অ্যাকটিন এবং জিলাটিন,0,0
25,অন্ত্রের প্রথম প্রতিরক্ষার স্তর কোনটি?,"সিলিয়া, কমপ্লিমেন্ট তন্ত্র ও সাইটোকাইনস",1,1
26,বুকের দুধের কোন উপাদানটি নবজাতকের প্রতিরক্ষায় কার্যকর?,সহজপাচ্য আমিষ,1,1
27,নিচের কোন স্তন্যপায়ী প্রাণী ডিম পাড়ে?,বাদুর (Bat),0,0
29,নিচের চার প্রকোষ্ঠ বিশিষ্ট হৃদপিন্ড কোন প্রাণীতে দেখা যায়?,কচ্ছপ,0,0
30,কোন hormone পাকস্থলির এসিড নিঃসরণ নিয়ন্ত্রণ করে?,কোলোসিস্টোকাইনিন,1,1
31,কোন কোষ বিভাজন পদ্ধতিতে RBC তৈরি হয়?,synopsis,0,0
32,কোন hormone রক্তে Na+ এবং K+ এর সমতা রক্ষা করে?,ইনসুলিন,0,0
33,স্বাভাবিক অবস্থায় হৃদপিন্ডের পেসমেকার কোনটি?,Bundle of His,1,1
34,নিচের কোন রক্তকণিকাটি স্মৃতিকোষ?,বেসোফিল,0,0
35,যকৃতে অবস্থিত ম্যাক্রোফেজকে কি কোষ বলে?,অস্টিওব্লাস্ট,0,0
36,পূর্ণবয়স্ক সুস্থ মানুষের দেহের ওজনের কত শতাংশ রক্ত থাকে?,১৫-১৯%,0,0
37,নিচের কোনটিতে হাইড্রার বহিঃকোষীয় পরিপাক সংঘটিত হয়?,গ্যাসট্রোডার্মিস,0,0
