serial_no,question,answer,model_raw_response,isCorrect
1,মস্তিষ্কের কোন অংশ মানুষের ক্ষুধা নিয়ন্ত্রণ করে?,সেরিবেলাম,0,0
2,ডেলটয়েড টিউবারসিটি কোন অস্থির অংশ?,স্ক্যাপুলা,1,1
3,ফুসফুসের আবরণকে কি বলে?,পেরিকার্ডিয়াম,0,0
4,নিচের কোনটি মানুষের দ্বিতীয় মস্তিষ্ক হিসাবে পরিচিত?,এক্সট্রিনসিক স্নায়ুতন্ত্র,0,0
5,কানের কোন অংশ ভারসাম্য রক্ষায় কাজ করে?,টিমপেনিক পর্দা,0,0
6,নিচের কোন হরমোনটি মানুষের ডিম্বাশয় থেকে নিঃসৃত হয়??,প্রোল্যাকটিন,0,0
7,কোন চক্রের মাধ্যমে যকৃতে ইউরিয়া তৈরী হয়?,ক্রেবস চক্র,0,0
8,কোন এন্টিবডি প্রধানত এলার্জির সাথে সংশ্লিষ্ট?,IgM,0,0
9,মানবদেহে সপ্তম করোটিক স্নায়ুর নাম কি?,ভেগাস স্নায়ু,0,0
10,এনজিওপ্লাস্টি করলে কি হয়?,হৃদস্পন্দনের গতি ধীর হয়,0,0
11,কোন কোষ হেপারিন তৈরী ও নিঃসরণ করে?,লিম্ফোসাইট,0,0
12,ডাক্টাস ক্যুভেইরি রুই মাছের কোন তন্ত্রের অংশ?,রেচনতন্ত্র,1,1
13,পেসমেকারের কাজ কি?,রক্ত সঞ্চালন বৃদ্ধি করে,0,0
14,"পূর্ণবয়স্ক সুস্থ মানুষের দুই বৃক্কে প্রতি মিনিটে মোট রক্ত সঞ্চালনের
পরিমাণ-",১২৫ মিঃ লিঃ,1,1
15,কোনটির উপস্থিতিতে স্নেহ পদার্থের ইমালসিফিকেশন হয়?,ভিটামিন,0,0
16,নিচের কোনটি নাইট্রোজেনবিহীন পদার্থ?,এমোনিয়া,0,0
17,মুখে খাওয়ার পোলিও ভ্যাকসিনটি কোন ধরনের ভ্যাকসিন?,উপএকক টিকা,0,0
18,নিচের কোনটি ম্যাক্রোফেজের কাজ নয়?,জীর্ণ কোষকে অপসারন করা,0,0
19,অন্তঃশ্বসন-,নির্দিষ্ট পরিমাণ শক্তি উৎপন্ন করে,0,0
20,Mollusca এর ক্ষেত্রে কোনটি সঠিক?,প্রতি খন্ডে নেফ্রিডিয়া বিদ্যমান থাকে,0,0
21,গ্লুকাগন-,অগ্ন্যাশয়ের ডেলটা কোষ থেকে নিঃসৃত হয়,0,0
22,মানবদেহে কোনটি লুপ্তপ্রায় অংগ?,স্ক্যাপুলা,0,0
23,কোন উদ্দীপনা অ্যানিমোট্যাক্সিসকে প্রভাবিত করে?,মাধ্যাকর্ষণ,1,1
24,মায়োফাইব্রিলে কি ধরনের আমিষ থাকে?,মায়োসিন এবং ইলাস্টিন,0,0
25,অন্ত্রের প্রথম প্রতিরক্ষার স্তর কোনটি?,"ত্বক, ফ্যাগোসাইটস ও কমপ্লিমেন্ট তন্ত্র",0,0
26,বুকের দুধের কোন উপাদানটি নবজাতকের প্রতিরক্ষায় কার্যকর?,পলিআনস্যাচুরেটেড ফ্যাটি অ্যাসিড,0,0
27,নিচের কোন স্তন্যপায়ী প্রাণী ডিম পাড়ে?,ক্যাঙ্গারু (Kangaroo),0,0
29,নিচের চার প্রকোষ্ঠ বিশিষ্ট হৃদপিন্ড কোন প্রাণীতে দেখা যায়?,টিকটিকি,0,0
30,কোন hormone পাকস্থলির এসিড নিঃসরণ নিয়ন্ত্রণ করে?,সিক্রেটিন,0,0
31,কোন কোষ বিভাজন পদ্ধতিতে RBC তৈরি হয়?,meiosis,0,0
32,কোন hormone রক্তে Na+ এবং K+ এর সমতা রক্ষা করে?,থাইরোক্সিন,0,0
33,স্বাভাবিক অবস্থায় হৃদপিন্ডের পেসমেকার কোনটি?,AV node,0,0
34,নিচের কোন রক্তকণিকাটি স্মৃতিকোষ?,মনোসাইট,0,0
35,যকৃতে অবস্থিত ম্যাক্রোফেজকে কি কোষ বলে?,মাইক্রোগ্লিয়া,0,0
36,পূর্ণবয়স্ক সুস্থ মানুষের দেহের ওজনের কত শতাংশ রক্ত থাকে?,১৯-২০%,1,1
37,নিচের কোনটিতে হাইড্রার বহিঃকোষীয় পরিপাক সংঘটিত হয়?,হাইপোস্টোম,0,0
38,ব্লাড গ্রুপ AB তে প্লাজমায়-,A ও B antibody থাকে,0,0
39,কোনটি প্লাজমা প্রোটিন নয়?,অ্যালবুমিন,0,0
40,কোন রক্তকণিকা দেহে antibody তৈরি করে?,বেসোফিল,0,0
41,কোনটি Live attenuated ভ্যাক্সিন?,টিটেনাস,0,0
42,আমাদের জাতীয় পাখির বৈজ্ঞানিক নাম কি?,Passer domesticus,0,0
43,মানবদেহের কোন অঙ্গে সবচেয়ে বেশি মাত্রায় রক্ত প্রবাহিত হয়?,মস্তিষ্ক,0,0
44,ক্ষুদ্রান্ত্রের কোন স্তরে গবলেট কোষ থাকে?,মাসকুলারিস মিউকোসা,0,0
45,ভ্রুণ অবস্থায় মাতৃগর্ভে কখন প্রথম হৃদস্পন্দন শুরু হয়?,অষ্টম সপ্তাহ,1,1
46,মাতৃদুগ্ধে কোন ধরনের immunoglobulin থাকে?,IgE,0,0
47,মানুষের হৃদপিন্ডের কোন প্রকোষ্ঠের প্রাচীর সবচেয়ে পুরু?,ডান নিলয়,0,0
48,প্রজাপতি' এর প্রতিসাম্যতা কোন ধরনের?,দ্বি-অরীয়,1,1
49,ঘাসফড়িং এর কোন গ্রন্থি থেকে জুভেনাইল হরমোন ক্ষরিত হয়?,কর্পোরা কার্ডিয়াকা,0,0
50,রক্তে অক্সিজেনের মাত্রা (O₂ saturation) ও হৃদস্পন্দন পরিমাপক যন্ত্রের নাম হল-,স্ফিগমোম্যানোমিটার,0,0
51,কেঁচো কোন অঙ্গের মাধ্যমে শ্বাসপ্রশ্বাস নেয়?,ফুলকা,0,0
52,কোন এনজাইম লালা গ্রন্থিতে পাওয়া যায়?,অ্যামাইলেজ,1,1
53,"কোন রক্ত কনিকা ""cell-mediated immunity” এর সাথে সম্পৃক্ত?",নিউট্রোফিল (Neutrophil),0,0
54,কোনটি autosomal recessive disorder?,রাতকানা,1,1
55,কোন এনজাইম আমিষ পরিপাকে সাহায্য করে?,অ্যামাইলেজ,0,0
56,কোন পদ্ধতিতে কোভিড ১৯ ভ্যাক্সিন প্রস্তুত করা হয় না?,নিষ্ক্রিয় (Inactivated),0,0
57,কোনটি ভাইরাস বৃদ্ধিতে বাঁধা দেয়?,Lysozyme,1,1
58,Alveolus থেকে অক্সিজেন রক্তে কিভাবে প্রবেশ করে?,Respiration,0,0
59,কোনটি Exocrine গ্রন্থি নয়?,Liver,1,1
60,কোনটি হাড়ের সাথে পেশি সংযুক্ত করে?,Ligament,0,0
