text,Specialist,target_specialist,modified_specialist,modified_sentence,eval_target_specialist,correct_prediction,correct_raw_response,hallucinated_prediction,hallucinated_raw_response
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার বাচ্চাকে আদা , মধু , গরম পানি খাওয়ান । সিরাপ এমব্রোক্স খাওয়াতে পারেন আধা চামচ করে তিন বার একজন শিশু বিশেষজ্ঞ কে দেখিয়ে নিন । ধন্যবাদ । ",শিশু বিশেষজ্ঞ,শিশু বিশেষজ্ঞ,শিশু শ্বাসতন্ত্র বিশেষজ্ঞ,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার বাচ্চাকে আদা , মধু , গরম পানি খাওয়ান । সিরাপ এমব্রোক্স খাওয়াতে পারেন আধা চামচ করে তিন বার একজন শিশু শ্বাসতন্ত্র বিশেষজ্ঞ কে দেখিয়ে নিন । ধন্যবাদ ।",শিশু বিশেষজ্ঞ,0.0,"ANSWER: 0

The extracted entity ""শিশু বিশেষজ্ঞ"" (pediatrician) is mentioned in the given text. The text advises to take the child to a ""শিশ",,"The extracted entity ""শিশু বিশেষজ্ঞ"" (child specialist) is not hallucinated. The text mentions ""একজন শিশু শ্বাসতন"
"Amar Buke Procur Beta korteche , Heart er doctors o dekhaichi . Troponin i and s . creatinine porikka kore chi report valo . akn buker bam Pashe veta korteche ki korbo jodi bolten . . ",Heart er doctors,Heart er doctors,Pulmonologist,"Amar Buke Procur Beta korteche , Pulmonologist o dekhaichi . Troponin i and s . creatinine porikka kore chi report valo . akn buker bam Pashe veta korteche ki korbo jodi bolten . .",Heart er doctors,0.0,"ANSWER: 0

The extracted entity ""Heart er doctors"" is mentioned in the given text. The text states ""Heart er doctors o dekhaichi,"" which translates to ""I have also seen heart doctors."" Therefore, the entity is",,"To determine whether the extracted medical entity ""Heart er doctors"" is hallucinated with respect to the given text, we need to carefully analyze the content of the text.

The text mentions:
- ""Amar Buke Procur Beta korteche"""
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । হাত কাঁপার অন্যতম কারণ গুলোর মধ্যে থাইরয়েডের সমস্যা , দুশ্চিন্তা বা এনজাইটি ডিসঅর্ডার , ব্রেইনের সেরিবেলাম এর সমস্যা , পারকিনসন ডিজিজ ইত্যাদি উল্লেখযোগ্য । আপনার সমস্যা কি তা জানার জন্য কিছু পরীক্ষা করা দরকার যেমন থাইরয়েড পরীক্ষা । একজন নিউরোলজিস্ট দিয়ে আপনার ব্রেনের কোন সমস্যা হয়েছে কিনা তা জানা দরকার । আপনি একজন নিউরোমেডিসিন বিশেষজ্ঞ কে দেখান । দুশ্চিন্তা করবেন না । চিন্তা করলে হাত কাঁপা বাড়তে পারে ঘুম ঠিকমতো হতে হবে । ধন্যবাদ । ",নিউরোলজিস্ট | নিউরোমেডিসিন বিশেষজ্ঞ,নিউরোলজিস্ট | নিউরোমেডিসিন বিশেষজ্ঞ,মুভমেন্ট ডিসঅর্ডার বিশেষজ্ঞ,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । হাত কাঁপার অন্যতম কারণ গুলোর মধ্যে থাইরয়েডের সমস্যা , দুশ্চিন্তা বা এনজাইটি ডিসঅর্ডার , ব্রেইনের সেরিবেলাম এর সমস্যা , পারকিনসন ডিজিজ ইত্যাদি উল্লেখযোগ্য । আপনার সমস্যা কি তা জানার জন্য কিছু পরীক্ষা করা দরকার যেমন থাইরয়েড পরীক্ষা । একজন মুভমেন্ট ডিসঅর্ডার বিশেষজ্ঞ দিয়ে আপনার ব্রেনের কোন সমস্যা হয়েছে কিনা তা জানা দরকার । আপনি একজন নিউরোমেডিসিন বিশেষজ্ঞ কে দেখান । দুশ্চিন্তা করবেন না । চিন্তা করলে হাত কাঁপা বাড়তে পারে ঘুম ঠিকমতো হতে হবে । ধন্যবাদ ।",নিউরোলজিস্ট | নিউরোমেডিসিন বিশেষজ্ঞ,0.0,"ANSWER: 0

Explanation:
- The text mentions both ""নিউরোলজিস্ট"" (neurologist) and ""নিউরোমেডিসিন ব",0.0,"ANSWER: 0

The text mentions ""নিউরোমেডিসিন বিশেষজ্ঞ"" (neuromedicine specialist) and the extracted entity is ""নিউর"
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার সমস্যা এখান থেকে ভাল বোঝা যাচ্ছে না । একজন নিউরোমেডিসিন বিশেষজ্ঞ চিকিৎসক কে দেখাতে হবে । ধন্যবাদ । ,নিউরোমেডিসিন বিশেষজ্ঞ,নিউরোমেডিসিন বিশেষজ্ঞ,নিউরোলজি বিশেষজ্ঞ,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার সমস্যা এখান থেকে ভাল বোঝা যাচ্ছে না । একজন নিউরোলজি বিশেষজ্ঞ চিকিৎসক কে দেখাতে হবে । ধন্যবাদ ।,নিউরোমেডিসিন বিশেষজ্ঞ,0.0,"ANSWER: 0

The extracted entity ""নিউরোমেডিসিন বিশেষজ্ঞ"" (neuromedicine specialist) is present in the given text. Therefore, it",1.0,"ANSWER: 1

The text mentions ""নিউরোলজি বিশেষজ্ঞ"" (neurology specialist), but the extracted entity ""নিউরোমেড"
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি গরম পানির ধোয়া নাকে নিয়ে দেখতে পারেন । এলাট্রল জাতীয় ঔষধ রাতে একটা করে খান । একজন মেডিসিন বিশেষজ্ঞ পরামর্শ নিন । ধন্যবাদ,মেডিসিন বিশেষজ্ঞ,মেডিসিন বিশেষজ্ঞ,নাক-কান-গলা বিশেষজ্ঞ,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি গরম পানির ধোয়া নাকে নিয়ে দেখতে পারেন । এলাট্রল জাতীয় ঔষধ রাতে একটা করে খান । একজন নাক-কান-গলা বিশেষজ্ঞ পরামর্শ নিন । ধন্যবাদ,মেডিসিন বিশেষজ্ঞ,0.0,"ANSWER: 0

The extracted entity ""মেডিসিন বিশেষজ্ঞ"" (medicine specialist) is mentioned in the given text. The text advises the reader to consult a ""মেড",1.0,"ANSWER: 1

The text mentions ""নাক-কান-গলা বিশেষজ্ঞ"" which translates to ""ENT specialist"" or ""nose, ear, and throat specialist."" The"
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । এই অবস্হায় সরাসরি না দেখে বা পরীক্ষা না করে কিছু বলা ঠিক হবেনা । এতে রোগীর ক্ষতি হতে পারে আপনি সরাসরি একজন Neuro - Medicine বিশেষজ্ঞ এর পরামর্শ নিতে পারেন ধন্যবাদ,Neuro - Medicine বিশেষজ্ঞ,Neuro - Medicine বিশেষজ্ঞ,নিউরোলজি বিশেষজ্ঞ,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । এই অবস্হায় সরাসরি না দেখে বা পরীক্ষা না করে কিছু বলা ঠিক হবেনা । এতে রোগীর ক্ষতি হতে পারে আপনি সরাসরি একজন নিউরোলজি বিশেষজ্ঞ এর পরামর্শ নিতে পারেন ধন্যবাদ,Neuro - Medicine বিশেষজ্ঞ,0.0,"ANSWER: 0

The extracted entity ""Neuro - Medicine বিশেষজ্ঞ"" (Neuro-Medicine Specialist) is present in the given text. Therefore, it is not hallucinated.",,"The extracted entity ""Neuro - Medicine বিশেষজ্ঞ"" is not exactly as it appears in the given text. The text mentions ""নিউরোলজি বিশেষজ"
"Thanks for your question . it is common in pregnancy . for more info , consult with gynaecologist . You can directly seek advice via this app through video conference . thanks",gynaecologist,gynaecologist,obstetrician,"Thanks for your question . it is common in pregnancy . for more info , consult with obstetrician . You can directly seek advice via this app through video conference . thanks",gynaecologist,0.0,"ANSWER: 0

The extracted entity ""gynaecologist"" is mentioned in the given text, so it is not hallucinated.",1.0,"ANSWER: 1

The text mentions ""obstetrician"" and not ""gynaecologist."" While obstetricians and gynaecologists often have overlapping roles, the specific term used in the text is ""obstetrician"
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য , আপনি আপনার খাওয়ার জন্য একটা রুটিন তৈরি করুন । আমিস জাতীয় খাবার খান । এক্সেরসাইস করুন । প্রয়োজনে একজন পুস্তিবিদ র সাথে কথা যোগাযোগ করুন । ",পুস্তিবিদ,পুস্তিবিদ,ডায়েটিশিয়ান,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য , আপনি আপনার খাওয়ার জন্য একটা রুটিন তৈরি করুন । আমিস জাতীয় খাবার খান । এক্সেরসাইস করুন । প্রয়োজনে একজন ডায়েটিশিয়ান র সাথে কথা যোগাযোগ করুন ।",পুস্তিবিদ,0.0,"ANSWER: 0

The extracted entity ""পুস্তিবিদ"" (nutritionist) is mentioned in the given text. The text advises the reader to consult a nutritionist if necessary, which confirms that the entity",1.0,"ANSWER: 1

The extracted entity ""পুস্তিবিদ"" (nutritionist) is not mentioned in the given text. The text advises to create a routine for eating, consume Amish-type foods, exercise"
Thanks for questioning to daktervai . Please continue previous prescription if not resolve consult with a paediatrician . Give 8to 10 tea spoon ORS after each loose motion,paediatrician,paediatrician,general physician,Thanks for questioning to daktervai . Please continue previous prescription if not resolve consult with a general physician . Give 8to 10 tea spoon ORS after each loose motion,paediatrician,0.0,"ANSWER: 0

The extracted entity ""paediatrician"" is mentioned in the given text, so it is not hallucinated.",1.0,"ANSWER: 1

The text does not mention a ""paediatrician."" It only refers to a ""general physician."" Therefore, the extracted entity ""paediatrician"" is hallucinated."
"ধন্যবাদ আপনার প্রশ্নের জন্য । ফাটিয়ে দিবেন না । ইনফেকশন হয়ে যাবে । আপাতত এলারজি উদ্রেককারী খাবার , ধূলাবালি এড়িয়ে চলুন । । এলাট্রল খান । না দেখে সমাধান দেয়া যাচ্ছে না । সরাসরি চর্মরোগ বিশেষজ্ঞ দেখিয়ে পরামর্শ নিতে হবে ধন্যবাদ",চর্মরোগ বিশেষজ্ঞ,চর্মরোগ বিশেষজ্ঞ,এলার্জি বিশেষজ্ঞ,"ধন্যবাদ আপনার প্রশ্নের জন্য । ফাটিয়ে দিবেন না । ইনফেকশন হয়ে যাবে । আপাতত এলারজি উদ্রেককারী খাবার , ধূলাবালি এড়িয়ে চলুন । । এলাট্রল খান । না দেখে সমাধান দেয়া যাচ্ছে না । সরাসরি এলার্জি বিশেষজ্ঞ দেখিয়ে পরামর্শ নিতে হবে ধন্যবাদ",চর্মরোগ বিশেষজ্ঞ,0.0,"ANSWER: 0

The extracted entity ""চর্মরোগ বিশেষজ্ঞ"" (dermatologist) is mentioned in the given text. The text advises the person to consult a dermatologist",1.0,"ANSWER: 1

The text mentions ""এলার্জি বিশেষজ্ঞ"" (allergy specialist) but does not mention ""চর্মরোগ বিশে"
