doc_id,item_id,track,gold,method,n,target_categories,prediction,correct,reasoning_tokens,finish_reason,raw_response
1250,A_1250,A,0,,0,,0.0,1.0,706,stop,ANSWER: 0
1483,A_1483,A,0,,0,,0.0,1.0,420,stop,ANSWER: 0
1774,A_1774,A,0,,0,,0.0,1.0,799,stop,ANSWER: 0
1907,A_1907,A,0,,0,,0.0,1.0,241,stop,ANSWER: 0
3065,A_3065,A,0,,0,,0.0,1.0,358,stop,ANSWER: 0
4376,A_4376,A,0,,0,,0.0,1.0,679,stop,ANSWER: 0
4872,A_4872,A,0,,0,,0.0,1.0,927,stop,ANSWER: 0
5061,A_5061,A,0,,0,,0.0,1.0,356,stop,ANSWER: 0
7282,A_7282,A,0,,0,,0.0,1.0,543,stop,ANSWER: 0
7476,A_7476,A,0,,0,,0.0,1.0,516,stop,ANSWER: 0
7664,A_7664,A,0,,0,,0.0,1.0,1114,stop,ANSWER: 0
7854,A_7854,A,0,,0,,1.0,0.0,515,stop,ANSWER: 1
8107,A_8107,A,0,,0,,0.0,1.0,523,stop,ANSWER: 0
8111,A_8111,A,0,,0,,0.0,1.0,572,stop,ANSWER: 0
10553,A_10553,A,0,,0,,0.0,1.0,676,stop,ANSWER: 0
10592,A_10592,A,0,,0,,0.0,1.0,882,stop,ANSWER: 0
10696,A_10696,A,0,,0,,0.0,1.0,728,stop,ANSWER: 0
11277,A_11277,A,0,,0,,0.0,1.0,568,stop,ANSWER: 0
12559,A_12559,A,0,,0,,1.0,0.0,847,stop,ANSWER: 1
12628,A_12628,A,0,,0,,0.0,1.0,704,stop,ANSWER: 0
13323,A_13323,A,0,,0,,0.0,1.0,556,stop,ANSWER: 0
13879,A_13879,A,0,,0,,0.0,1.0,762,stop,ANSWER: 0
14138,A_14138,A,0,,0,,0.0,1.0,689,stop,ANSWER: 0
15433,A_15433,A,0,,0,,0.0,1.0,329,stop,ANSWER: 0
15688,A_15688,A,0,,0,,0.0,1.0,279,stop,ANSWER: 0
15818,A_15818,A,0,,0,,0.0,1.0,451,stop,ANSWER: 0
15819,A_15819,A,0,,0,,0.0,1.0,812,stop,ANSWER: 0
16344,A_16344,A,0,,0,,0.0,1.0,397,stop,ANSWER: 0
16760,A_16760,A,0,,0,,1.0,0.0,1293,stop,ANSWER: 1
17727,A_17727,A,0,,0,,0.0,1.0,556,stop,ANSWER: 0
18129,A_18129,A,0,,0,,0.0,1.0,487,stop,ANSWER: 0
18248,A_18248,A,0,,0,,0.0,1.0,350,stop,ANSWER: 0
19859,A_19859,A,0,,0,,0.0,1.0,896,stop,ANSWER: 0
20110,A_20110,A,0,,0,,0.0,1.0,852,stop,ANSWER: 0
