text,Age,Dosage,Health Condition,Medical Procedure,Medicine,Specialist,Symptom,modified_symptom,modified_sentence
"গ্রাহক , ডাক্তার ভাইকে প্রশ্ন করার জন্য আপনাকে ধন্যবাদ । আপনার বাচ্চা কি প্রতিদিন ৫ / ৬ বার প্রস্রাব করে ? যদি করে থাকে তাহলে বুঝতে হবে বাচ্চা পরিমাণমতো খাবার খাচ্ছে ও দুধ পাচ্ছে ? আপনার বাচ্চার ওজন কত ? বাচ্চা যদি খাবার খেতে অনীহা প্রকাশ করে , তাহলে কিছু সময় বিরতি দিয়ে তাকে আবার খাবার অফার করুন ৷ বাচ্চাকে খাবার খেতে উৎসাহী করার জন্য রঙিন খাবার প্লেট , রঙিন ফলমূল ব্যবহার করুন , এছাড়াও আপনি যে খাবার দিচ্ছেন তাতে হজমের সমস্যা হচ্ছে কিনা খেয়াল রাখবেন । আপনার বাচ্চা যদি অতিরিক্ত দুর্বল না হয়ে যায় এবং ক্লান্ত না দেখায় তাহলে বুঝতে হবে বাচ্চা পরিমাণগত খাবার খাচ্ছে । ধন্যবাদ",[],[],[],[],[],[],['বাচ্চা যদি অতিরিক্ত দুর্বল'],নিস্তেজ,"গ্রাহক , ডাক্তার ভাইকে প্রশ্ন করার জন্য আপনাকে ধন্যবাদ । আপনার বাচ্চা কি প্রতিদিন ৫ / ৬ বার প্রস্রাব করে ? যদি করে থাকে তাহলে বুঝতে হবে বাচ্চা পরিমাণমতো খাবার খাচ্ছে ও দুধ পাচ্ছে ? আপনার বাচ্চার ওজন কত ? বাচ্চা যদি খাবার খেতে অনীহা প্রকাশ করে , তাহলে কিছু সময় বিরতি দিয়ে তাকে আবার খাবার অফার করুন ৷ বাচ্চাকে খাবার খেতে উৎসাহী করার জন্য রঙিন খাবার প্লেট , রঙিন ফলমূল ব্যবহার করুন , এছাড়াও আপনি যে খাবার দিচ্ছেন তাতে হজমের সমস্যা হচ্ছে কিনা খেয়াল রাখবেন । আপনার বাচ্চা যদি অতিরিক্ত নিস্তেজ না হয়ে যায় এবং ক্লান্ত না দেখায় তাহলে বুঝতে হবে বাচ্চা পরিমাণগত খাবার খাচ্ছে । ধন্যবাদ"
টয়লেট ক্লিয়ার হয়না । সব সময় পেট বরা ভরা ভরা লাগে । টয়লেটের চাপ পাওয়ার পরেও টয়লেট ক্লিয়ার ভাবে সম্পন্ন হয় না । যার ফলে অল্প খাবার খেলেই পেট ভরে যায় । পরামর্শ দিবেন,[],[],[],[],[],[],"['টয়লেট ক্লিয়ার হয়না', 'পেট বরা ভরা ভরা লাগে', 'টয়লেটের চাপ পাওয়ার পরেও টয়লেট ক্লিয়ার ভাবে সম্পন্ন হয় না', 'অল্প খাবার খেলেই পেট ভরে যায়']",কোষ্ঠকাঠিন্য,কোষ্ঠকাঠিন্য । সব সময় পেট বরা ভরা ভরা লাগে । টয়লেটের চাপ পাওয়ার পরেও টয়লেট ক্লিয়ার ভাবে সম্পন্ন হয় না । যার ফলে অল্প খাবার খেলেই পেট ভরে যায় । পরামর্শ দিবেন
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । কচু শাক খেলে যাদের কচু শাকে এলার্জি আছে তাদের শরীর চুলকাতে পারে । আপনি কচু শাক খাওয়া বন্ধ করুন । ধন্যবাদ,[],[],['এলার্জি আছে'],[],[],[],['শরীর চুলকাতে পারে'],শরীর ফুলে যেতে পারে,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । কচু শাক খেলে যাদের কচু শাকে এলার্জি আছে তাদের শরীর ফুলে যেতে পারে । আপনি কচু শাক খাওয়া বন্ধ করুন । ধন্যবাদ
আমার ভায়ের বয়স 10 মাস কোনো কিছু খাচ্ছে না কোনো মেডিসিন prescribe করূন অথবা পরামর্শ দিন,['10 মাস'],[],[],[],[],[],['কোনো কিছু খাচ্ছে না'],বমি করছে,আমার ভায়ের বয়স 10 মাস বমি করছে কোনো মেডিসিন prescribe করূন অথবা পরামর্শ দিন
"আমার ঠান্ডা এবং কাশি , শুকনো কাশি রাতে বেশি হয় । ঠান্ডায় নাক বন্ধ হয়ে যায় । কাশির জন্য mcastmcast খাই । ",[],[],[],[],['mcastmcast'],[],"['ঠান্ডা', 'কাশি', 'শুকনো কাশি রাতে বেশি হয়', 'ঠান্ডায় নাক বন্ধ হয়ে যায়', 'কাশির']",সর্দি,"আমার সর্দি এবং কাশি , শুকনো কাশি রাতে বেশি হয় । ঠান্ডায় নাক বন্ধ হয়ে যায় । কাশির জন্য mcastmcast খাই ।"
প্রশ্ন করার জন্য অনেক ধন্যবাদ / RIGHT ADNEXAL CYST এর কারনে জ্বর আসার কথা না জ্বর সাধারণত infection এর কারনে হয়ে থাকে / আপনার কিছু পরিক্ষা করে দেখতে হবে কেনও জ্বর আসছে / আপনি একজন নিকটস্থ ডাক্তারকে দেখিয়ে পরামর্শ মতো চিকিৎসা নিন / ধন্যবাদ / ,[],[],"['RIGHT ADNEXAL CYST', 'infection']",[],[],[],['জ্বর'],কাঁপুনি,প্রশ্ন করার জন্য অনেক ধন্যবাদ / RIGHT ADNEXAL CYST এর কারনে কাঁপুনি আসার কথা না জ্বর সাধারণত infection এর কারনে হয়ে থাকে / আপনার কিছু পরিক্ষা করে দেখতে হবে কেনও জ্বর আসছে / আপনি একজন নিকটস্থ ডাক্তারকে দেখিয়ে পরামর্শ মতো চিকিৎসা নিন / ধন্যবাদ /
"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । কাশির জন্য Syrup Adovas ২ চামচ তিনবেলা এক ফাইল খেতে পারেন । জ্বর , গা হাত পা ব্যথার জন্য Tab Napa 500 1 টি করে ট্যাবলেট দুই থেকে তিন বেলা খেতে পারেন । দুশ্চিন্তা করার কিছু নেই । ভ্যাকসিন নেওয়ার পরেও করোণা পজিটিভ আসতে পারে । সুতরাং , সাবধানে থাকুন । জ্বর কাশি না কমলে একটি Covid - 19 টেস্ট করে ফেলতে পারেন । ধন্যবাদ",[],"['২ চামচ তিনবেলা এক ফাইল', '1 টি করে ট্যাবলেট দুই থেকে তিন বেলা']",[],['Covid - 19 টেস্ট'],"['Syrup Adovas', 'Tab Napa 500']",[],"['জ্বর', 'গা হাত পা ব্যথার']",কাঁপুনি,"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । কাশির জন্য Syrup Adovas ২ চামচ তিনবেলা এক ফাইল খেতে পারেন । কাঁপুনি , গা হাত পা ব্যথার জন্য Tab Napa 500 1 টি করে ট্যাবলেট দুই থেকে তিন বেলা খেতে পারেন । দুশ্চিন্তা করার কিছু নেই । ভ্যাকসিন নেওয়ার পরেও করোণা পজিটিভ আসতে পারে । সুতরাং , সাবধানে থাকুন । জ্বর কাশি না কমলে একটি Covid - 19 টেস্ট করে ফেলতে পারেন । ধন্যবাদ"
আমার এক সপ্তাহ যাবৎ পায়খানার রস্তায় চুলকানি । কি ঔষধ খাব জানাবেন । ,[],[],[],[],[],[],['পায়খানার রস্তায় চুলকানি'],পায়খানার রস্তায় জ্বালাপোড়া,আমার এক সপ্তাহ যাবৎ পায়খানার রস্তায় জ্বালাপোড়া । কি ঔষধ খাব জানাবেন ।
"আমার স্ত্রীর একটি সমস্যা হচ্ছে যেটা , পায়খানার রাস্তা দিয়ে রক্ত যাচ্ছে । পায়খানার রাস্তা খুব ব্যাথাও করছে । এটা কোন ধরনের সমস্যা বা কিসের জন্য হতে পারে ? আমি কোন বিভাগের ডাক্টার এর সাথে কথা বলবো ? ",[],[],[],[],[],[],"['পায়খানার রাস্তা দিয়ে রক্ত যাচ্ছে', 'পায়খানার রাস্তা খুব ব্যাথাও করছে']",পায়খানার রাস্তা দিয়ে পুঁজ যাচ্ছে,"আমার স্ত্রীর একটি সমস্যা হচ্ছে যেটা , পায়খানার রাস্তা দিয়ে পুঁজ যাচ্ছে । পায়খানার রাস্তা খুব ব্যাথাও করছে । এটা কোন ধরনের সমস্যা বা কিসের জন্য হতে পারে ? আমি কোন বিভাগের ডাক্টার এর সাথে কথা বলবো ?"
"বয়স ৬০ , মহিলা । গত ৪ / ৫ দিন ধরে কাশি ২ / ৩ দিনের মত জ্বর ছিলো । এখন কাশির সাথে রক্ত আসছে । হাইপারটেনশন ও অ্যাস্থমা আছে । কি করা যায় ? এটি কি অস্বাভাবিক ? ",['৬০'],[],"['হাইপারটেনশন', 'অ্যাস্থমা']",[],[],[],"['৪ / ৫ দিন ধরে কাশি', '২ / ৩ দিনের মত জ্বর', 'কাশির সাথে রক্ত']",৪ / ৫ দিন ধরে শ্বাসকষ্ট,"বয়স ৬০ , মহিলা । গত ৪ / ৫ দিন ধরে শ্বাসকষ্ট ২ / ৩ দিনের মত জ্বর ছিলো । এখন কাশির সাথে রক্ত আসছে । হাইপারটেনশন ও অ্যাস্থমা আছে । কি করা যায় ? এটি কি অস্বাভাবিক ?"
আমরা বাবা জ্বর ৩ / ৪ দিন ঔষধ খাবার পর জ্বর ছাড়ে বিকেল পাঁচটার পর আবার জ্বর উঠে 101 / 102,[],[],[],[],[],[],['জ্বর উঠে'],কাঁপুনি,আমরা বাবা জ্বর ৩ / ৪ দিন ঔষধ খাবার পর জ্বর ছাড়ে বিকেল পাঁচটার পর আবার কাঁপুনি 101 / 102
মাথা ব্যাথা হলে প্রাথমিক ভাবে কি করনীয় মাথা প্রথমে গরম হয় পরে ব্যাথা শুরু হয়,[],[],[],[],[],[],"['মাথা ব্যাথা', 'মাথা প্রথমে গরম হয় পরে ব্যাথা শুরু হয়']",মাথা ধরা,মাথা ধরা হলে প্রাথমিক ভাবে কি করনীয় মাথা প্রথমে গরম হয় পরে ব্যাথা শুরু হয়
"বাইসাইকেল চালানোর পর গত ৪ / ৫ দিন ধরে আমার পিঠে পিছনে ডান ছাইটের মধ্য খানে অনেক ব্যাত্থা করতেছে , এখন আমার কি করার আছে ? ",[],[],[],[],[],[],['৪ / ৫ দিন ধরে আমার পিঠে পিছনে ডান ছাইটের মধ্য খানে অনেক ব্যাত্থা'],৪ / ৫ দিন ধরে আমার পিঠে পিছনে ডান ছাইটের মধ্য খানে অনেক টান লাগা,"বাইসাইকেল চালানোর পর গত ৪ / ৫ দিন ধরে আমার পিঠে পিছনে ডান ছাইটের মধ্য খানে অনেক টান লাগা করতেছে , এখন আমার কি করার আছে ?"
আামার হার্টে ব্যাথা । ঘুম কম হয় । প্রেসার উচ্চ । ডায়বেটিস,[],[],['ডায়বেটিস'],[],[],[],"['হার্টে ব্যাথা', 'ঘুম কম হয়', 'প্রেসার উচ্চ']",বুক ধড়ফড়,আামার বুক ধড়ফড় । ঘুম কম হয় । প্রেসার উচ্চ । ডায়বেটিস
