serial_no,question,answer
1,মস্তিষ্কের কোন অংশ মানুষের ক্ষুধা নিয়ন্ত্রণ করে?,হাইপোথ্যালামাস
2,ডেলটয়েড টিউবারসিটি কোন অস্থির অংশ?,হিউমেরাস
3,ফুসফুসের আবরণকে কি বলে?,প্লিওরা
4,নিচের কোনটি মানুষের দ্বিতীয় মস্তিষ্ক হিসাবে পরিচিত?,এন্টেরিক স্নায়ুতন্ত্র
5,কানের কোন অংশ ভারসাম্য রক্ষায় কাজ করে?,ভেস্টিবুলার যন্ত্র
6,নিচের কোন হরমোনটি মানুষের ডিম্বাশয় থেকে নিঃসৃত হয়??,প্রজেস্টেরন
7,কোন চক্রের মাধ্যমে যকৃতে ইউরিয়া তৈরী হয়?,অরনিথিন চক্র
8,কোন এন্টিবডি প্রধানত এলার্জির সাথে সংশ্লিষ্ট?,IgE
9,মানবদেহে সপ্তম করোটিক স্নায়ুর নাম কি?,ফেসিয়াল স্নায়ু
10,এনজিওপ্লাস্টি করলে কি হয়?,সরু ধমনী প্রশস্ত হয়
11,কোন কোষ হেপারিন তৈরী ও নিঃসরণ করে?,বেসোফিল
12,ডাক্টাস ক্যুভেইরি রুই মাছের কোন তন্ত্রের অংশ?,শিরাতন্ত্র
13,পেসমেকারের কাজ কি?,হৃদস্পন্দনের ধীরগতি নিয়ন্ত্রণ করে
14,"পূর্ণবয়স্ক সুস্থ মানুষের দুই বৃক্কে প্রতি মিনিটে মোট রক্ত সঞ্চালনের
পরিমাণ-",১২০০ মিঃ লিঃ
15,কোনটির উপস্থিতিতে স্নেহ পদার্থের ইমালসিফিকেশন হয়?,বাইল সল্ট
16,নিচের কোনটি নাইট্রোজেনবিহীন পদার্থ?,ল্যাকটিক এসিড
17,মুখে খাওয়ার পোলিও ভ্যাকসিনটি কোন ধরনের ভ্যাকসিন?,জীবনস্মৃত জীবন্ত টিকা
18,নিচের কোনটি ম্যাক্রোফেজের কাজ নয়?,বিভিন্ন ধরনের এন্টিবডি তৈরি করা
19,অন্তঃশ্বসন-,"A,B"
20,Mollusca এর ক্ষেত্রে কোনটি সঠিক?,নরম ও অখন্ডায়িত
21,গ্লুকাগন-,ইনসুলিনের সাথে বিপরীতভাবে সম্পর্কিত
22,মানবদেহে কোনটি লুপ্তপ্রায় অংগ?,থাইমাস
23,কোন উদ্দীপনা অ্যানিমোট্যাক্সিসকে প্রভাবিত করে?,বায়ুপ্রবাহ
24,মায়োফাইব্রিলে কি ধরনের আমিষ থাকে?,অ্যাকটিন এবং মায়োসিন
25,অন্ত্রের প্রথম প্রতিরক্ষার স্তর কোনটি?,"পাকস্থলির অ্যাসিড, মাইক্রোবায়োম ও মলত্যাগ"
26,বুকের দুধের কোন উপাদানটি নবজাতকের প্রতিরক্ষায় কার্যকর?,ইমিউনোগ্লোবুলিন-এ
27,নিচের কোন স্তন্যপায়ী প্রাণী ডিম পাড়ে?,প্লাটিপাস (Platypus)
29,নিচের চার প্রকোষ্ঠ বিশিষ্ট হৃদপিন্ড কোন প্রাণীতে দেখা যায়?,কুমীর
30,কোন hormone পাকস্থলির এসিড নিঃসরণ নিয়ন্ত্রণ করে?,গ্যাস্ট্রিন
