text,Medicine,modified_text,correct_pair,incorrect_pair
"আপনার প্রশ্নের জন্য ধন্যবাদ । দুশ্চিন্তা কমান , পর্যাপ্ত বিশ্রাম নিন । পানিশূন্যতা আছে শরীরে । আপনি তরল খাবার , স্যালাইন , তরমুজ , শসা , ডাবের পানি খাবেন । কোলেস্টেরল বাড়লে হার্ট এটাক , স্ট্রোকের ঝুঁকি বাড়ে । রোগীর সাথে সরাসরি কথা বলে হিস্ট্রি নিয়ে সমস্যা শুনে সমাধান দিতে হবে । বিশদ আলোচনার জন্য আপনি এই এপের মাধ্যমে ভিডিও কনফারেন্সে চিকিৎসকের পরামর্শ নিতে পারেন । ধন্যবাদ",স্যালাইন,"আপনার প্রশ্নের জন্য ধন্যবাদ । দুশ্চিন্তা কমান , পর্যাপ্ত বিশ্রাম নিন । পানিশূন্যতা আছে শরীরে । আপনি তরল খাবার , ওআরএস , তরমুজ , শসা , ডাবের পানি খাবেন । কোলেস্টেরল বাড়লে হার্ট এটাক , স্ট্রোকের ঝুঁকি বাড়ে । রোগীর সাথে সরাসরি কথা বলে হিস্ট্রি নিয়ে সমস্যা শুনে সমাধান দিতে হবে । বিশদ আলোচনার জন্য আপনি এই এপের মাধ্যমে ভিডিও কনফারেন্সে চিকিৎসকের পরামর্শ নিতে পারেন । ধন্যবাদ",1,0
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার বাচ্চাকে আদা , মধু , গরম পানি খাওয়ান । সিরাপ এমব্রোক্স খাওয়াতে পারেন আধা চামচ করে তিন বার একজন শিশু বিশেষজ্ঞ কে দেখিয়ে নিন । ধন্যবাদ । ",সিরাপ এমব্রোক্স,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার বাচ্চাকে আদা , মধু , গরম পানি খাওয়ান । সিরাপ ব্রোমহেক্সিন খাওয়াতে পারেন আধা চামচ করে তিন বার একজন শিশু বিশেষজ্ঞ কে দেখিয়ে নিন । ধন্যবাদ ।",1,0
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি গরম পানির ধোয়া নাকে নিয়ে দেখতে পারেন । এলাট্রল জাতীয় ঔষধ রাতে একটা করে খান । একজন মেডিসিন বিশেষজ্ঞ পরামর্শ নিন । ধন্যবাদ,এলাট্রল,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি গরম পানির ধোয়া নাকে নিয়ে দেখতে পারেন । ফেক্সোফেনাডিন জাতীয় ঔষধ রাতে একটা করে খান । একজন মেডিসিন বিশেষজ্ঞ পরামর্শ নিন । ধন্যবাদ,1,0
"My mother is 65 years old . I have diabetes , pressure , gas , thyroid problems . Can I get the corona vaccine ? ",corona vaccine,"My mother is 65 years old . I have diabetes , pressure , gas , thyroid problems . Can I get the influenza vaccine ?",0,0
বয়স ১৮ + বিড়াল খুব সামান্য আচর দিয়েছে এবং রক্ত খুবই সামান্য বের হয়েছে । এক্ষেত্রে কি ভ্যাকসিন দিতে হবে ? ,ভ্যাকসিন,বয়স ১৮ + বিড়াল খুব সামান্য আচর দিয়েছে এবং রক্ত খুবই সামান্য বের হয়েছে । এক্ষেত্রে কি র‍্যাবিস ইমিউনোগ্লোবিউলিন দিতে হবে ?,1,0
"আমার স্ত্রী বয়স ২৪ ও ১৪ দিনের প্রেগন্যান্ট অবস্থা MM Kit খায় ২৫ তারিখে এন্ড , ঐ দিন মাসিক হয় , কিন্তু আজ দু দিন যাবত bleeding আনে বেশি যাচ্ছে , তাই আমি আল্টাস্রোফ্রাগি করাতে চাই , দয়া করে আমাকে পরিক্ষার নাম টা লিখে দিবেন",MM Kit | আল্টাস্রোফ্রাগি,"আমার স্ত্রী বয়স ২৪ ও ১৪ দিনের প্রেগন্যান্ট অবস্থা Mifegest Kit খায় ২৫ তারিখে এন্ড , ঐ দিন মাসিক হয় , কিন্তু আজ দু দিন যাবত bleeding আনে বেশি যাচ্ছে , তাই আমি আল্টাস্রোফ্রাগি করাতে চাই , দয়া করে আমাকে পরিক্ষার নাম টা লিখে দিবেন",1,1
ডাক্তার ভাই ‌কে প্রশ্ন করার জন্য ধন্যবাদ । Syrup . Zimax 2 spoon দিনে একবার ৫ দিন খাওয়ান । আর Napa ৬ ঘন্টা পর পর খাওয়ান । ধন্যবাদ,Syrup . Zimax | Napa,ডাক্তার ভাই ‌কে প্রশ্ন করার জন্য ধন্যবাদ । Syrup . Clarithromycin 2 spoon দিনে একবার ৫ দিন খাওয়ান । আর Napa ৬ ঘন্টা পর পর খাওয়ান । ধন্যবাদ,1,0
Thanks for questioning to daktervai . Please continue previous prescription if not resolve consult with a paediatrician . Give 8to 10 tea spoon ORS after each loose motion,ORS,Thanks for questioning to daktervai . Please continue previous prescription if not resolve consult with a paediatrician . Give 8to 10 tea spoon Pedialyte after each loose motion,1,0
আমার ডান পায়ে রানের উপরে বলটার সোজা পিছনে পাচার দুই অংশের ডান পাশে 20 - 25 দিন যাবত প্রচন্ড ব্যাথা অনুভব করতেছি ওষুধ খেয়েও কোনো কাজ হচ্ছেনা ব্যথার আবার যখন শুয়ে থাকি তখন ব্যথাটা কম অনুভব হয় । আবার যখন বিছানা থেকে দাঁড়ায় থাকি তখন ব্যাথা বেশি অনুভব হয । যেসব ওষুধ খেয়েছি সেসব ওষুধের নাম 1 . Tolpa 50 2 . Etorix 90 3 . Tryptin 10 4 . Esolox 20 5 . Neurep,Tolpa 50 | Etorix 90 | Tryptin 10 | Esolox 20 | Neurep,আমার ডান পায়ে রানের উপরে বলটার সোজা পিছনে পাচার দুই অংশের ডান পাশে 20 - 25 দিন যাবত প্রচন্ড ব্যাথা অনুভব করতেছি ওষুধ খেয়েও কোনো কাজ হচ্ছেনা ব্যথার আবার যখন শুয়ে থাকি তখন ব্যথাটা কম অনুভব হয় । আবার যখন বিছানা থেকে দাঁড়ায় থাকি তখন ব্যাথা বেশি অনুভব হয । যেসব ওষুধ খেয়েছি সেসব ওষুধের নাম 1 . Tolpa 50 2 . Celecoxib 200 3 . Tryptin 10 4 . Esolox 20 5 . Neurep,1,0
আমার বয়স ১৩ আমার পচন্ড পায়ের হার এর বেথা । আমি কি ঔষধ খাব বলেন স্যার । Calcium BP 500mg কিনছি খাব কি স্যার । ,Calcium BP 500mg,আমার বয়স ১৩ আমার পচন্ড পায়ের হার এর বেথা । আমি কি ঔষধ খাব বলেন স্যার । Calcium citrate 500mg কিনছি খাব কি স্যার ।,1,1
