doc_id,item_id,track,gold,method,n,target_categories,prediction,correct,reasoning_tokens,finish_reason,raw_response
1250,A_1250,A,0,,0,,0.0,1.0,0,stop,ANSWER: 0
1483,A_1483,A,0,,0,,,,710,stop,
1774,A_1774,A,0,,0,,0.0,1.0,0,stop,ANSWER: 0
1907,A_1907,A,0,,0,,0.0,1.0,171,stop,ANSWER: 0
3065,A_3065,A,0,,0,,0.0,1.0,329,stop,ANSWER: 0
4376,A_4376,A,0,,0,,0.0,1.0,0,stop,ANSWER: 0
4872,A_4872,A,0,,0,,0.0,1.0,0,stop,ANSWER: 0
5061,A_5061,A,0,,0,,0.0,1.0,68,stop,ANSWER: 0
7282,A_7282,A,0,,0,,0.0,1.0,748,stop,ANSWER: 0
7476,A_7476,A,0,,0,,0.0,1.0,144,stop,ANSWER: 0
7664,A_7664,A,0,,0,,1.0,0.0,210,stop,ANSWER: 1
7854,A_7854,A,0,,0,,1.0,0.0,227,stop,ANSWER: 1
8107,A_8107,A,0,,0,,0.0,1.0,294,stop,ANSWER: 0
8111,A_8111,A,0,,0,,0.0,1.0,673,stop,ANSWER: 0
10553,A_10553,A,0,,0,,0.0,1.0,0,stop,ANSWER: 0
10592,A_10592,A,0,,0,,0.0,1.0,499,stop,ANSWER: 0
10696,A_10696,A,0,,0,,0.0,1.0,862,stop,ANSWER: 0
11277,A_11277,A,0,,0,,0.0,1.0,259,stop,ANSWER: 0
12559,A_12559,A,0,,0,,0.0,1.0,1180,stop,ANSWER: 0
12628,A_12628,A,0,,0,,0.0,1.0,0,stop,ANSWER: 0
13323,A_13323,A,0,,0,,0.0,1.0,0,stop,ANSWER: 0
13879,A_13879,A,0,,0,,0.0,1.0,173,stop,ANSWER: 0
14138,A_14138,A,0,,0,,0.0,1.0,0,stop,ANSWER: 0
15433,A_15433,A,0,,0,,0.0,1.0,0,stop,ANSWER: 0
15688,A_15688,A,0,,0,,0.0,1.0,44,stop,ANSWER: 0
15818,A_15818,A,0,,0,,0.0,1.0,189,stop,ANSWER: 0
15819,A_15819,A,0,,0,,0.0,1.0,0,stop,ANSWER: 0
16344,A_16344,A,0,,0,,0.0,1.0,0,stop,ANSWER: 0
16760,A_16760,A,0,,0,,0.0,1.0,970,stop,ANSWER: 0
17727,A_17727,A,0,,0,,0.0,1.0,0,stop,ANSWER: 0
18129,A_18129,A,0,,0,,0.0,1.0,0,stop,ANSWER: 0
18248,A_18248,A,0,,0,,0.0,1.0,0,stop,ANSWER: 0
19859,A_19859,A,0,,0,,0.0,1.0,1166,stop,ANSWER: 0
20110,A_20110,A,0,,0,,0.0,1.0,0,stop,ANSWER: 0
20770,A_20770,A,0,,0,,0.0,1.0,0,stop,ANSWER: 0
21042,A_21042,A,0,,0,,0.0,1.0,224,stop,ANSWER: 0
21362,A_21362,A,0,,0,,0.0,1.0,0,stop,ANSWER: 0
21785,A_21785,A,0,,0,,0.0,1.0,172,stop,ANSWER: 0
21855,A_21855,A,0,,0,,0.0,1.0,353,stop,ANSWER: 0
22314,A_22314,A,0,,0,,1.0,0.0,0,stop,ANSWER: 1
22486,A_22486,A,0,,0,,0.0,1.0,244,stop,ANSWER: 0
22981,A_22981,A,0,,0,,0.0,1.0,192,stop,ANSWER: 0
23240,A_23240,A,0,,0,,0.0,1.0,0,stop,ANSWER: 0
23712,A_23712,A,0,,0,,0.0,1.0,0,stop,ANSWER: 0
24011,A_24011,A,0,,0,,1.0,0.0,0,stop,ANSWER: 1
24392,A_24392,A,0,,0,,0.0,1.0,157,stop,ANSWER: 0
24780,A_24780,A,0,,0,,0.0,1.0,461,stop,ANSWER: 0
25080,A_25080,A,0,,0,,0.0,1.0,477,stop,ANSWER: 0
26268,A_26268,A,0,,0,,0.0,1.0,123,stop,ANSWER: 0
26458,A_26458,A,0,,0,,1.0,0.0,251,stop,ANSWER: 1
1250,B_0,B,1,Coarsen,1,Dosage,0.0,0.0,0,stop,ANSWER: 0
1250,B_1,B,1,Delete,1,Medicine,1.0,1.0,118,stop,ANSWER: 1
1250,B_2,B,1,Delete,2,Medicine | Age,1.0,1.0,128,stop,ANSWER: 1
1250,B_3,B,1,Delete,3,Medicine | Age | Dosage,1.0,1.0,92,stop,ANSWER: 1
1250,B_4,B,1,Substitute,1,Symptom,1.0,1.0,642,stop,ANSWER: 1
1483,B_5,B,1,Coarsen,1,Temporal,0.0,0.0,0,stop,ANSWER: 0
1483,B_6,B,1,Delete,1,Age,1.0,1.0,660,stop,ANSWER: 1
1483,B_7,B,1,Delete,2,Age | Temporal,0.0,0.0,0,stop,ANSWER: 0
1483,B_8,B,1,Delete,3,Age | Temporal | Medicine,1.0,1.0,798,stop,ANSWER: 1
1483,B_9,B,1,Substitute,1,Dosage,1.0,1.0,328,stop,ANSWER: 1
1774,B_10,B,1,Delete,1,Symptom,1.0,1.0,230,stop,ANSWER: 1
